2: None
3: None
5: None
7: None
11: None
13: None
17: None
19: None
23: None
29: 1 22 6 | 5 0 24 | 23 7 28
31: None
37: 1 9 27 | 26 0 11 | 10 28 36
41: 1 31 9 | 8 0 33 | 32 10 40
43: None
47: None
53: 1 36 16 | 15 0 38 | 37 17 52
59: 49 26 46 | 57 1 4 | 15 35 12
61: 1 56 4 | 3 0 58 | 57 5 60
67: None
71: 16 43 15 | 0 1 2 | 58 30 57
73: 1 23 49 | 48 0 25 | 24 50 72
79: 9 65 8 | 0 1 2 | 73 16 72
83: 9 17 49 | 65 25 68 | 1 33 41
89: 1 79 9 | 8 0 81 | 80 10 88
97: 1 93 3 | 2 0 95 | 94 4 96
101: 1 19 81 | 80 0 21 | 20 82 100
103: 49 7 50 | 2 1 0 | 55 98 56
107: 81 52 49 | 100 25 57 | 1 105 76
109: 1 104 4 | 3 0 106 | 105 5 108
113: 1 104 8 | 7 0 106 | 105 9 112
127: 103 50 49 | 98 25 79 | 1 0 74
131: 25 81 28 | 4 1 129 | 105 52 108
137: 1 120 16 | 15 0 122 | 121 17 136
139: 124 41 49 | 89 25 100 | 1 9 65
149: 1 123 25 | 24 0 125 | 124 26 148
151: 74 103 49 | 0 25 50 | 1 98 127
157: 132 51 49 | 99 25 108 | 1 156 75
163: 16 10 49 | 58 25 155 | 1 40 34
167: 36 144 157 | 122 1 47 | 12 25 133
173: 64 135 49 | 10 25 40 | 1 88 159
179: 153 52 49 | 100 25 129 | 1 177 76
181: 38 169 49 | 36 25 14 | 1 62 12
191: 10 16 49 | 64 25 177 | 1 34 40
193: 32 187 49 | 42 25 8 | 1 56 18
197: 114 109 49 | 157 25 90 | 1 138 133
199: 169 56 49 | 104 25 145 | 1 193 80
211: 203 34 49 | 82 25 179 | 1 16 58
223: 31 218 49 | 43 25 7 | 1 55 19
227: 10 16 49 | 64 25 213 | 1 34 40
229: 70 185 49 | 4 25 46 | 1 94 209
233: 100 159 49 | 207 25 76 | 1 124 183
239: 64 201 49 | 10 25 40 | 1 88 225
241: 1 236 4 | 3 0 238 | 237 5 240
251: 232 45 49 | 93 25 208 | 1 5 69
257: 1 240 16 | 15 0 242 | 241 17 256
263: 26 0 49 | 48 25 2 | 1 50 24
269: 20 6 49 | 54 25 265 | 1 44 30
271: 134 163 49 | 211 25 110 | 1 158 187
277: 47 256 49 | 27 25 23 | 1 71 3
281: 16 10 49 | 58 25 273 | 1 40 34
283: 10 16 49 | 64 25 269 | 1 34 40
293: 64 255 49 | 10 25 40 | 1 88 279
307: 280 53 49 | 101 25 256 | 1 304 77
311: 289 48 49 | 96 25 265 | 1 2 72
313: 48 291 49 | 26 25 24 | 1 72 2
317: 278 65 49 | 113 25 254 | 1 302 89
331: 4 74 256 | 253 1 80 | 77 259 329
337: 0 26 49 | 74 25 313 | 1 24 50
347: 302 71 49 | 119 25 278 | 1 326 95
349: 51 324 49 | 23 25 27 | 1 75 348
353: 345 34 49 | 82 25 321 | 1 16 58
359: 64 321 49 | 10 25 40 | 1 88 345
367: 74 319 49 | 0 25 50 | 1 98 343
373: 114 285 49 | 333 25 90 | 1 138 309
379: 256 149 49 | 197 25 232 | 1 280 173
383: 31 378 49 | 43 25 7 | 1 55 19
389: 361 54 49 | 102 25 337 | 1 385 78
397: 40 383 49 | 34 25 16 | 1 64 10
401: 287 140 49 | 188 25 263 | 1 311 164
409: 358 77 49 | 125 25 334 | 1 382 101
419: 324 121 49 | 169 25 300 | 1 348 145
421: 75 372 49 | 420 25 51 | 1 99 396
431: 152 305 49 | 353 25 128 | 1 176 329
433: 0 26 49 | 74 25 409 | 1 24 50
439: 56 409 49 | 18 25 32 | 1 80 433
443: 144 325 49 | 373 25 120 | 1 168 349
449: 4 22 49 | 70 25 429 | 1 28 46
457: 242 241 49 | 289 25 218 | 1 266 265
461: 431 56 49 | 104 25 407 | 1 455 80
463: 9 449 8 | 0 1 2 | 457 16 456
467: 161 332 49 | 380 25 137 | 1 185 356
479: 421 84 49 | 132 25 397 | 1 445 108
487: 484 29 49 | 77 25 460 | 1 21 53
491: 36 481 49 | 38 25 12 | 1 60 14
499: 5 21 49 | 69 25 480 | 1 29 45
503: 26 0 49 | 48 25 2 | 1 50 24
509: 20 6 49 | 54 25 505 | 1 44 30
521: 114 433 49 | 481 25 90 | 1 138 457
523: 343 206 49 | 254 25 319 | 1 367 230
541: 69 498 49 | 5 25 45 | 1 93 522
547: 182 391 49 | 439 25 158 | 1 206 415
557: 354 229 49 | 277 25 330 | 1 378 253
563: 452 137 49 | 185 25 428 | 1 476 161
569: 529 66 49 | 114 25 505 | 1 553 90
571: 121 476 49 | 524 25 97 | 1 145 500
577: 576 27 49 | 75 25 552 | 1 23 51
587: 4 22 49 | 70 25 567 | 1 28 46
593: 42 577 49 | 32 25 18 | 1 66 8
599: 26 0 49 | 48 25 2 | 1 50 24
601: 0 26 49 | 74 25 577 | 1 24 50
607: 210 423 49 | 471 25 186 | 1 234 447
613: 1 548 64 | 63 0 550 | 549 65 612
617: 515 128 49 | 176 25 491 | 1 539 152
619: 484 161 49 | 209 25 460 | 1 508 185
631: 308 349 49 | 397 25 284 | 1 332 373
641: 577 90 49 | 138 25 553 | 1 601 114
643: 318 351 49 | 399 25 294 | 1 342 375
647: 196 477 49 | 525 25 172 | 1 220 501
653: 225 454 49 | 502 25 201 | 1 249 478
659: 57 628 49 | 17 25 33 | 1 81 652
661: 123 564 49 | 612 25 99 | 1 147 588
673: 0 26 49 | 74 25 649 | 1 24 50
677: 64 639 49 | 10 25 40 | 1 88 663
683: 484 225 49 | 273 25 460 | 1 508 249
691: 144 573 49 | 621 25 120 | 1 168 597
701: 560 167 49 | 215 25 536 | 1 584 191
709: 196 539 49 | 587 25 172 | 1 220 563
719: 488 257 49 | 305 25 464 | 1 512 281
727: 95 658 49 | 706 25 71 | 1 119 682
733: 636 123 49 | 171 25 612 | 1 660 147
739: 6 20 49 | 68 25 721 | 1 30 44
743: 400 369 49 | 417 25 376 | 1 424 393
751: 614 163 49 | 211 25 590 | 1 638 187
757: 322 461 49 | 509 25 298 | 1 346 485
761: 16 10 49 | 58 25 753 | 1 40 34
769: 255 540 49 | 588 25 231 | 1 279 564
773: 203 596 49 | 644 25 179 | 1 227 620
787: 576 237 49 | 285 25 552 | 1 600 261
797: 161 662 49 | 710 25 137 | 1 185 686
809: 783 52 49 | 100 25 759 | 1 807 76
811: 97 740 49 | 788 25 73 | 1 121 764
821: 180 667 49 | 715 25 156 | 1 204 691
823: 142 707 49 | 755 25 118 | 1 166 731
827: 16 10 49 | 58 25 819 | 1 40 34
829: 9 17 49 | 65 25 814 | 1 33 41
839: 484 381 49 | 429 25 460 | 1 508 405
853: 684 195 49 | 243 25 660 | 1 708 219
857: 196 687 49 | 735 25 172 | 1 220 711
859: 9 17 49 | 65 25 844 | 1 33 41
863: 841 48 49 | 96 25 817 | 1 2 72
877: 263 640 49 | 688 25 239 | 1 287 664
881: 838 69 49 | 117 25 814 | 1 862 93
883: 441 468 49 | 516 25 417 | 1 465 492
887: 289 624 49 | 672 25 265 | 1 313 648
907: 16 10 49 | 58 25 899 | 1 40 34
911: 361 576 49 | 624 25 337 | 1 385 600
919: 64 881 49 | 10 25 40 | 1 88 905
929: 784 171 49 | 219 25 760 | 1 808 195
937: 0 26 49 | 74 25 913 | 1 24 50
941: 80 887 49 | 935 25 56 | 1 104 911
947: 16 10 49 | 58 25 939 | 1 40 34
953: 58 921 49 | 16 25 34 | 1 82 945
967: 260 733 49 | 781 25 236 | 1 284 757
971: 344 653 49 | 701 25 320 | 1 368 677
977: 484 519 49 | 567 25 460 | 1 508 543
983: 300 709 49 | 757 25 276 | 1 324 733
991: 530 487 49 | 535 25 506 | 1 554 511
997: 710 313 49 | 361 25 686 | 1 734 337
1009: 1003 32 49 | 80 25 979 | 1 18 56
1013: 361 678 49 | 726 25 337 | 1 385 702
1019: 324 721 49 | 769 25 300 | 1 348 745
1021: 828 219 49 | 267 25 804 | 1 852 243
1031: 64 993 49 | 10 25 40 | 1 88 1017
1033: 959 100 49 | 148 25 935 | 1 983 124
1039: 961 104 49 | 152 25 937 | 1 985 128
1049: 169 906 49 | 954 25 145 | 1 193 930
1051: 121 956 49 | 1004 25 97 | 1 145 980
1061: 361 726 49 | 774 25 337 | 1 385 750
1063: 790 299 49 | 347 25 766 | 1 814 323
1069: 612 483 49 | 531 25 588 | 1 636 507
1087: 79 1034 49 | 1082 25 55 | 1 103 1058
1091: 681 436 49 | 484 25 657 | 1 705 460
1093: 324 795 49 | 843 25 300 | 1 348 819
1097: 9 17 49 | 65 25 1082 | 1 33 41
1103: 1013 116 49 | 164 25 989 | 1 1037 140
1109: 1033 102 49 | 150 25 1009 | 1 1057 126
1117: 249 894 49 | 942 25 225 | 1 273 918
1123: 64 1085 49 | 10 25 40 | 1 88 1109
1129: 400 755 49 | 803 25 376 | 1 424 779
1151: 169 1008 49 | 1056 25 145 | 1 193 1032
1153: 72 1107 49 | 2 25 48 | 1 96 1131
1163: 16 10 49 | 58 25 1155 | 1 40 34
1171: 9 17 49 | 65 25 1156 | 1 33 41
1181: 961 246 49 | 294 25 937 | 1 985 270
1187: 16 10 49 | 58 25 1179 | 1 40 34
1193: 1182 37 49 | 85 25 1158 | 1 13 61
1201: 36 1191 49 | 38 25 12 | 1 60 14
1213: 324 915 49 | 963 25 300 | 1 348 939
1217: 196 1047 49 | 1095 25 172 | 1 220 1071
1223: 1154 95 49 | 143 25 1130 | 1 1178 119
1229: 961 294 49 | 342 25 937 | 1 985 318
1231: 196 1061 49 | 1109 25 172 | 1 220 1085
1237: 317 946 49 | 994 25 293 | 1 341 970
1249: 0 26 49 | 74 25 1225 | 1 24 50
1259: 422 863 49 | 911 25 398 | 1 446 887
1277: 299 1004 49 | 1052 25 275 | 1 323 1028
1279: 961 344 49 | 392 25 937 | 1 985 368
1283: 100 1209 49 | 1257 25 76 | 1 124 1233
1289: 484 831 49 | 879 25 460 | 1 508 855
1291: 9 17 49 | 65 25 1276 | 1 33 41
1297: 400 923 49 | 971 25 376 | 1 424 947
1301: 841 486 49 | 534 25 817 | 1 865 510
1303: 297 1032 49 | 1080 25 273 | 1 321 1056
1307: 64 1269 49 | 10 25 40 | 1 88 1293
1319: 196 1149 49 | 1197 25 172 | 1 220 1173
1321: 324 1023 49 | 1071 25 300 | 1 348 1047
1327: 289 1064 49 | 1112 25 265 | 1 313 1088
1361: 841 546 49 | 594 25 817 | 1 865 570
1367: 576 817 49 | 865 25 552 | 1 600 841
1373: 784 615 49 | 663 25 760 | 1 808 639
1381: 1369 38 49 | 86 25 1345 | 1 12 62
1399: 802 623 49 | 671 25 778 | 1 826 647
1409: 4 22 49 | 70 25 1389 | 1 28 46
1423: 70 1379 49 | 4 25 46 | 1 94 1403
1427: 1369 84 49 | 132 25 1345 | 1 1393 108
1429: 1136 319 49 | 367 25 1112 | 1 1160 343
1433: 441 1018 49 | 1066 25 417 | 1 465 1042
1439: 865 600 49 | 648 25 841 | 1 889 624
1447: 121 1352 49 | 1400 25 97 | 1 145 1376
1451: 36 1441 49 | 38 25 12 | 1 60 14
1453: 118 1361 49 | 1409 25 94 | 1 142 1385
1459: 1324 161 49 | 209 25 1300 | 1 1348 185
1471: 1225 272 49 | 320 25 1201 | 1 1249 296
1481: 1296 211 49 | 259 25 1272 | 1 1320 235
