2: None
3: None
5: None
7: None
11: None
13: None
17: None
19: None
23: None
29: 1 25 20 | 5 0 24 | 9 4 28
31: None
37: 1 4 7 | 34 0 3 | 30 33 36
41: 1 5 9 | 37 0 4 | 32 36 40
43: None
47: None
53: 1 25 49 | 29 0 24 | 4 28 52
59: 1 25 49 | 3 27 51 | 5 29 53
61: 1 49 36 | 13 0 48 | 25 12 60
67: None
71: 1 36 0 | 10 45 9 | 19 54 18
73: 1 25 49 | 37 61 12 | 0 24 48
79: 1 25 49 | 16 40 64 | 31 55 0
83: 1 4 7 | 38 41 44 | 75 78 81
89: 1 9 17 | 81 0 8 | 72 80 88
97: 1 25 49 | 61 85 12 | 24 48 72
101: 1 25 49 | 77 0 24 | 52 76 100
103: 1 25 49 | 28 52 76 | 55 79 0
107: 1 25 49 | 62 86 3 | 16 40 64
109: 1 25 49 | 73 97 12 | 36 60 84
113: 1 25 49 | 61 85 109 | 8 32 56
127: 1 9 17 | 36 44 52 | 71 79 87
131: 1 25 49 | 41 65 89 | 81 105 129
137: 1 25 49 | 8 32 56 | 15 39 63
139: 1 25 49 | 4 28 52 | 7 31 55
149: 1 25 49 | 125 0 24 | 100 124 148
151: 1 16 31 | 10 25 40 | 19 34 49
157: 1 25 49 | 108 132 156 | 58 82 106
163: 1 25 49 | 36 60 84 | 71 95 119
167: 1 25 49 | 126 150 7 | 84 108 132
173: 1 25 49 | 149 0 24 | 124 148 172
179: 1 25 49 | 77 101 125 | 153 177 22
181: 1 25 49 | 177 20 44 | 172 15 39
191: 1 25 49 | 136 160 184 | 80 104 128
193: 1 25 49 | 121 145 169 | 48 72 96
197: 1 25 49 | 173 0 24 | 148 172 196
199: 1 25 49 | 180 5 29 | 160 184 9
211: 1 25 49 | 30 54 78 | 59 83 107
223: 1 25 49 | 8 32 56 | 15 39 63
227: 1 25 49 | 33 57 81 | 65 89 113
229: 1 25 49 | 180 204 228 | 130 154 178
233: 1 25 49 | 4 28 52 | 7 31 55
239: 1 25 49 | 218 3 27 | 196 220 5
241: 1 25 49 | 121 145 169 | 0 24 48
251: 1 25 49 | 101 125 149 | 201 225 249
257: 1 0 256 | 100 99 98 | 199 198 197
263: 1 25 49 | 26 50 74 | 51 75 99
269: 1 25 49 | 225 249 4 | 180 204 228
271: 1 25 49 | 16 40 64 | 31 55 79
277: 1 25 49 | 265 12 36 | 252 276 23
281: 1 25 49 | 121 145 169 | 241 265 8
283: 1 25 49 | 117 141 165 | 233 257 281
293: 1 25 49 | 236 260 284 | 178 202 226
307: 1 25 49 | 177 201 225 | 46 70 94
311: 1 25 49 | 192 216 240 | 72 96 120
313: 1 25 49 | 289 0 24 | 264 288 312
317: 1 25 49 | 293 0 24 | 268 292 316
331: 1 25 49 | 96 120 144 | 191 215 239
